inputId,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
33,high,0,2,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,medium,low,medium,0
34,high,1,1,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
35,medium,1,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
36,high,1,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
37,medium,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,low,low,low,low,low,low,low,0
38,low,1,1,2,≤35,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,1
39,high,1,1,2,≤35,pay duly,pay duly,1-3 months,pay duly,1-3 months,pay duly,low,low,low,low,low,low,low,0
40,high,1,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,high,low,low,low,medium,low,low,0
41,medium,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
42,low,1,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
43,medium,0,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
44,low,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
45,high,1,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,1
46,low,0,1,2,≤35,1-3 months,1-3 months,1-3 months,pay duly,1-3 months,1-3 months,low,low,low,low,low,low,low,1
47,medium,0,5,2,36-60,1-3 months,1-3 months,pay duly,1-3 months,1-3 months,pay duly,low,low,low,low,low,low,low,1
48,high,1,2,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
49,low,1,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
50,medium,1,3,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
51,medium,0,3,3,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
52,high,0,2,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
53,medium,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
54,medium,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
55,high,0,1,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
56,medium,0,3,1,≤35,1-3 months,1-3 months,1-3 months,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
57,medium,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
58,medium,0,1,2,≤35,pay duly,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
59,high,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,high,low,low,low,low,low,low,0
60,high,0,3,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
61,medium,1,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,medium,low,low,low,low,low,low,0
62,low,1,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
63,low,0,2,1,36-60,1-3 months,1-3 months,1-3 months,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,1
64,medium,0,2,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
65,medium,1,1,1,36-60,pay duly,pay duly,pay duly,pay duly,1-3 months,1-3 months,medium,low,low,low,low,low,low,1
66,low,1,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
67,high,0,1,2,≤35,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
68,medium,0,3,2,≤35,1-3 months,pay duly,pay duly,pay duly,1-3 months,pay duly,low,low,low,low,low,low,low,0
69,low,1,5,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
70,medium,1,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
71,high,1,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,1
72,medium,0,2,1,≤35,pay duly,pay duly,pay duly,pay duly,1-3 months,pay duly,low,low,low,low,low,low,low,0
73,high,0,1,2,36-60,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
74,high,1,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,medium,low,low,0
75,low,1,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
76,low,1,3,2,≤35,pay duly,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
77,high,0,1,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
78,low,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
79,high,0,2,2,36-60,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,1
80,high,0,3,3,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
81,high,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,low,low,low,low,medium,low,low,0
82,medium,1,3,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
83,high,0,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
84,low,0,3,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
85,medium,1,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,medium,low,low,low,0
86,high,0,1,1,36-60,pay duly,pay duly,1-3 months,1-3 months,pay duly,pay duly,low,low,low,low,low,low,low,1
87,medium,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,low,low,low,low,low,low,low,0
88,medium,0,1,1,≤35,1-3 months,1-3 months,1-3 months,pay duly,pay duly,pay duly,medium,low,low,low,low,low,low,0
89,low,1,3,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
90,medium,1,1,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,1
91,high,0,1,2,36-60,pay duly,pay duly,pay duly,1-3 months,1-3 months,pay duly,low,low,low,low,low,low,low,0
92,medium,0,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
93,medium,0,2,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
94,medium,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
95,medium,1,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
96,high,1,1,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,1-3 months,low,low,low,low,low,low,medium,0
97,medium,1,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
98,low,0,3,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
99,low,1,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,low,low,low,low,low,low,low,1
100,medium,1,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
101,high,0,1,2,≤35,pay duly,pay duly,pay duly,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
102,high,1,1,1,>60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,high,low,medium,low,low,low,low,0
103,low,0,3,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
104,medium,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
105,medium,0,2,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
106,medium,0,2,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
107,high,1,1,2,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
108,medium,1,2,2,36-60,1-3 months,1-3 months,1-3 months,pay duly,pay duly,pay duly,medium,low,low,medium,low,medium,low,0
109,high,1,2,1,≤35,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
110,high,0,1,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
111,low,1,3,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
112,high,1,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
113,medium,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
114,low,1,2,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
115,low,1,1,2,≤35,pay duly,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
116,high,1,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
117,medium,1,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
118,high,1,2,1,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
119,high,0,2,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,pay duly,medium,low,low,low,low,low,low,0
120,low,1,3,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
121,high,1,1,1,36-60,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,1
122,medium,0,1,1,36-60,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
123,high,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,high,low,low,low,low,low,low,1
124,low,1,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
125,low,1,2,2,≤35,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
126,medium,1,3,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
127,medium,1,1,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,1
128,low,1,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
129,medium,1,3,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
130,low,0,1,2,≤35,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
131,high,1,1,2,36-60,1-3 months,pay duly,pay duly,1-3 months,1-3 months,pay duly,low,low,low,low,low,low,low,0
132,high,1,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,high,low,low,low,low,low,low,0
133,high,1,3,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,high,low,low,low,low,low,low,0
134,low,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
135,high,1,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
136,medium,1,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
137,high,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
138,low,0,3,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,1
139,low,1,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
140,high,1,1,2,36-60,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,1
141,medium,1,2,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
142,low,1,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
143,medium,1,2,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
144,low,1,1,2,≤35,pay duly,pay duly,pay duly,pay duly,1-3 months,pay duly,low,low,low,low,low,low,low,0
145,low,1,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
146,medium,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
147,medium,1,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,medium,low,low,low,0
148,medium,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
149,high,0,1,1,36-60,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
150,medium,1,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
151,medium,1,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
152,high,1,1,2,36-60,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
153,high,0,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,high,low,low,low,medium,low,low,0
154,low,0,3,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
155,medium,1,1,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
156,medium,0,1,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
157,medium,0,3,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
158,high,1,3,1,36-60,1-3 months,1-3 months,>3 months,>3 months,>3 months,>3 months,medium,low,low,low,low,low,low,1
159,low,1,3,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
160,low,1,1,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
161,low,1,2,2,≤35,1-3 months,pay duly,pay duly,pay duly,pay duly,1-3 months,low,low,low,low,low,low,low,0
162,high,1,3,1,36-60,pay duly,pay duly,pay duly,pay duly,1-3 months,pay duly,low,low,low,low,low,low,low,0
163,high,0,1,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
164,medium,0,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
165,medium,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
166,high,1,1,2,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
167,medium,1,2,1,≤35,pay duly,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
168,medium,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
169,low,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
170,high,1,2,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
171,high,0,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
172,low,0,2,2,≤35,pay duly,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
173,low,0,1,2,≤35,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,1
174,high,1,1,2,≤35,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
175,medium,1,3,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,1
176,medium,1,1,2,≤35,pay duly,pay duly,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
177,low,1,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
178,low,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
179,medium,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
180,high,1,1,2,36-60,pay duly,pay duly,1-3 months,1-3 months,1-3 months,pay duly,low,low,low,low,low,low,medium,0
181,medium,0,3,2,≤35,1-3 months,pay duly,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
182,high,0,1,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,medium,low,low,low,medium,low,0
183,medium,0,2,1,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,1
184,low,1,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,low,low,low,low,low,low,low,0
185,medium,0,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
186,high,0,1,2,≤35,1-3 months,pay duly,pay duly,pay duly,pay duly,pay duly,low,medium,low,medium,low,low,low,0
187,medium,0,3,2,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,1
188,medium,0,2,1,≤35,1-3 months,pay duly,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
189,low,0,2,2,≤35,1-3 months,>3 months,>3 months,>3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
190,high,1,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
191,medium,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
192,medium,0,1,2,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,1-3 months,low,low,low,low,low,low,low,0
193,medium,0,1,2,≤35,pay duly,pay duly,1-3 months,1-3 months,1-3 months,pay duly,low,low,low,low,low,low,low,0
194,low,1,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,pay duly,low,low,low,low,low,low,low,0
195,low,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
196,medium,0,2,1,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
197,low,0,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,pay duly,1-3 months,low,low,low,low,low,low,low,0
198,high,0,1,1,≤35,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
199,low,0,3,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,1
200,medium,0,1,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
201,medium,1,1,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
202,medium,0,1,2,≤35,pay duly,1-3 months,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
203,medium,1,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,0
204,high,0,2,1,36-60,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,high,low,low,low,low,low,low,0
205,low,1,3,1,36-60,pay duly,pay duly,1-3 months,1-3 months,1-3 months,1-3 months,low,low,low,low,low,low,low,0
206,medium,1,1,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
207,high,0,2,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,1
208,medium,0,2,2,≤35,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,1-3 months,medium,low,low,low,low,low,low,1
209,high,0,1,1,36-60,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,low,low,low,low,low,low,low,0
210,high,1,1,2,≤35,1-3 months,1-3 months,1-3 months,pay duly,pay duly,pay duly,medium,low,low,low,low,medium,low,0
211,high,0,1,1,36-60,1-3 months,pay duly,pay duly,1-3 months,pay duly,pay duly,low,low,low,low,low,low,low,1
