inputId,decile1b,decile3,lsat,ugpa,zfygpa,zgpa,fulltime,fam_inc,male,racetxt,tier,pass_bar
37,7.0,8.0,39.0,3.5,0.39,0.61,1.0,4.0,0.0,1.0,3.0,1.0
38,3.0,2.0,44.0,2.7,-0.45,-0.98,1.0,5.0,1.0,1.0,4.0,0.0
39,1.0,2.0,31.5,3.1,-1.72,-1.01,1.0,3.0,1.0,1.0,3.0,1.0
40,7.0,9.0,45.0,3.0,0.54,1.14,1.0,3.0,1.0,1.0,4.0,1.0
41,1.0,1.0,46.0,3.6,-1.72,-1.4,1.0,3.0,1.0,1.0,5.0,1.0
42,7.0,6.0,40.0,3.7,0.42,0.13,1.0,3.0,0.0,1.0,4.0,1.0
43,6.0,5.0,36.0,2.7,0.26,0.0,1.0,4.0,1.0,1.0,5.0,1.0
44,7.0,6.0,40.0,3.1,0.5,0.07,1.0,3.0,1.0,1.0,3.0,1.0
45,6.0,6.0,44.0,3.2,0.17,0.24,1.0,4.0,1.0,1.0,6.0,1.0
46,2.0,2.0,25.0,2.8,-0.91,-0.95,1.0,2.0,0.0,1.0,4.0,0.0
47,3.0,3.0,43.0,2.9,-0.65,-0.74,1.0,3.0,0.0,1.0,4.0,1.0
48,1.0,1.0,25.0,3.1,-1.44,-1.5,1.0,4.0,0.0,0.0,4.0,0.0
49,8.0,7.0,37.0,3.1,0.65,0.35,1.0,4.0,1.0,1.0,5.0,1.0
50,1.0,4.0,32.0,3.3,-1.58,-0.43,1.0,3.0,0.0,1.0,3.0,0.0
51,6.0,7.0,46.0,3.3,0.3,0.51,1.0,4.0,0.0,1.0,4.0,1.0
52,4.0,5.0,33.0,3.6,-0.34,-0.12,1.0,4.0,0.0,1.0,3.0,1.0
53,6.0,6.0,39.0,2.7,0.21,0.1,1.0,4.0,0.0,1.0,4.0,1.0
54,6.0,6.0,37.0,3.3,0.13,0.14,1.0,5.0,0.0,1.0,3.0,1.0
55,10.0,8.0,30.0,3.6,1.38,0.77,1.0,4.0,1.0,1.0,3.0,1.0
56,6.0,7.0,44.0,3.5,0.35,0.43,1.0,4.0,0.0,1.0,6.0,1.0
57,10.0,10.0,43.0,3.8,1.76,1.63,1.0,3.0,0.0,1.0,4.0,1.0
58,1.0,1.0,40.0,3.2,-1.16,-1.39,1.0,4.0,0.0,1.0,3.0,1.0
59,8.0,8.0,34.0,3.0,0.58,0.62,1.0,4.0,1.0,1.0,3.0,1.0
60,1.0,2.0,38.0,3.0,-1.23,-0.86,1.0,5.0,1.0,1.0,5.0,1.0
61,3.0,5.0,37.0,2.4,-0.51,-0.27,2.0,4.0,1.0,1.0,2.0,1.0
62,3.0,6.0,39.0,3.6,-0.57,0.07,1.0,4.0,1.0,1.0,4.0,1.0
63,1.0,1.0,42.0,3.9,-1.3,-1.37,1.0,3.0,0.0,1.0,6.0,1.0
64,8.0,10.0,40.5,3.7,0.8,1.42,1.0,5.0,1.0,1.0,4.0,1.0
65,9.0,8.0,44.0,3.3,1.13,0.84,1.0,4.0,1.0,1.0,3.0,1.0
66,4.0,6.0,35.0,2.9,-0.24,0.1,1.0,4.0,1.0,1.0,3.0,1.0
67,3.0,2.0,35.0,3.0,-0.62,-0.9,1.0,2.0,1.0,0.0,4.0,1.0
68,7.0,7.0,38.0,3.3,0.33,0.32,1.0,3.0,0.0,1.0,5.0,1.0
69,8.0,7.0,35.0,3.1,0.72,0.51,1.0,3.0,1.0,1.0,4.0,1.0
70,3.0,5.0,36.0,3.1,-0.54,-0.09,2.0,3.0,1.0,1.0,5.0,1.0
71,6.0,6.0,32.0,3.8,0.13,0.26,1.0,4.0,1.0,1.0,4.0,1.0
72,1.0,1.0,28.5,2.6,-1.42,-1.83,1.0,3.0,0.0,0.0,3.0,1.0
73,5.0,5.0,44.0,3.2,-0.11,-0.27,1.0,2.0,1.0,1.0,3.0,1.0
74,10.0,10.0,41.0,3.6,1.43,1.93,1.0,3.0,0.0,1.0,3.0,1.0
75,5.0,5.0,40.0,3.0,-0.08,-0.18,1.0,5.0,0.0,1.0,3.0,1.0
76,8.0,10.0,36.0,4.0,0.64,1.35,1.0,4.0,0.0,1.0,4.0,1.0
77,2.0,3.0,34.0,3.4,-0.74,-0.54,1.0,3.0,0.0,1.0,4.0,1.0
78,5.0,2.0,38.0,3.1,-0.07,-1.21,2.0,4.0,0.0,1.0,3.0,1.0
79,2.0,3.0,29.0,3.0,-1.0,-0.84,2.0,5.0,0.0,1.0,6.0,1.0
80,3.0,5.0,32.0,2.5,-0.56,-0.13,1.0,4.0,1.0,1.0,3.0,1.0
81,3.0,3.0,39.0,3.6,-0.69,-0.59,1.0,4.0,1.0,1.0,4.0,1.0
82,9.0,10.0,39.0,3.5,1.21,1.5,1.0,5.0,0.0,1.0,4.0,1.0
83,10.0,10.0,42.0,3.6,1.51,1.55,1.0,3.0,1.0,1.0,3.0,0.0
84,4.0,2.0,21.0,2.9,-0.4,-0.9,1.0,1.0,1.0,1.0,4.0,1.0
85,7.0,8.0,34.0,3.4,0.55,0.68,1.0,3.0,1.0,1.0,4.0,1.0
86,2.0,1.0,21.0,2.6,-0.85,-1.78,1.0,3.0,0.0,0.0,4.0,1.0
87,10.0,10.0,39.0,2.8,1.32,1.99,1.0,3.0,1.0,1.0,3.0,1.0
88,7.0,6.0,34.0,3.0,0.39,0.23,1.0,5.0,0.0,1.0,3.0,1.0
89,5.0,4.0,45.0,2.6,-0.03,-0.55,1.0,1.0,1.0,1.0,3.0,0.0
90,4.0,4.0,48.0,3.8,-0.18,-0.29,1.0,4.0,0.0,1.0,6.0,1.0
91,6.0,3.0,34.0,3.3,0.3,-0.65,1.0,4.0,0.0,1.0,4.0,1.0
92,8.0,7.0,33.0,3.7,0.62,0.3,1.0,3.0,0.0,1.0,4.0,0.0
93,10.0,10.0,47.0,3.9,1.94,1.32,1.0,4.0,1.0,1.0,5.0,1.0
94,4.0,4.0,36.0,2.3,-0.21,-0.45,1.0,3.0,1.0,1.0,3.0,1.0
95,9.0,9.0,31.0,3.2,0.94,1.03,1.0,4.0,1.0,1.0,3.0,1.0
96,6.0,9.0,35.0,3.9,0.2,1.01,1.0,3.0,1.0,1.0,4.0,1.0
97,4.0,4.0,29.0,3.7,-0.26,-0.41,1.0,2.0,1.0,1.0,3.0,1.0
98,6.0,7.0,39.0,3.7,0.15,0.48,1.0,3.0,1.0,1.0,6.0,1.0
99,8.0,9.0,35.0,4.0,0.89,1.23,1.0,2.0,1.0,1.0,4.0,1.0
100,5.0,6.0,39.0,3.6,-0.11,0.29,1.0,3.0,0.0,1.0,4.0,1.0
101,10.0,10.0,41.0,3.8,1.6,1.49,1.0,3.0,0.0,1.0,4.0,1.0
102,8.0,8.0,46.0,3.8,0.74,0.66,1.0,3.0,0.0,1.0,5.0,0.0
103,2.0,2.0,32.0,3.9,-0.74,-1.22,1.0,3.0,0.0,1.0,3.0,0.0
104,9.0,9.0,32.5,2.8,0.94,1.12,1.0,3.0,1.0,1.0,2.0,1.0
105,8.0,8.0,36.0,3.5,0.71,0.69,1.0,4.0,0.0,1.0,4.0,1.0
106,5.0,4.0,28.0,2.3,-0.16,-0.5,1.0,3.0,0.0,0.0,3.0,1.0
107,3.0,2.0,42.0,3.2,-0.64,-0.96,1.0,2.0,1.0,1.0,4.0,1.0
108,6.0,4.0,34.0,3.8,0.21,-0.31,1.0,4.0,1.0,1.0,4.0,1.0
109,2.0,4.0,32.0,2.5,-0.86,-0.45,2.0,4.0,1.0,1.0,2.0,0.0
110,7.0,8.0,45.0,3.3,0.48,0.73,1.0,4.0,1.0,1.0,3.0,1.0
111,7.0,4.0,36.0,3.2,0.39,-0.35,1.0,4.0,1.0,1.0,3.0,1.0
112,10.0,10.0,32.0,3.9,1.54,1.85,1.0,4.0,0.0,1.0,4.0,1.0
113,8.0,9.0,42.0,3.6,0.77,0.88,1.0,2.0,1.0,1.0,4.0,1.0
114,5.0,4.0,37.0,3.4,-0.09,-0.37,1.0,4.0,0.0,1.0,4.0,1.0
115,10.0,10.0,41.0,3.3,2.08,1.88,1.0,3.0,0.0,1.0,5.0,1.0
116,10.0,10.0,39.0,3.6,1.88,2.02,1.0,5.0,0.0,1.0,4.0,1.0
117,1.0,2.0,38.0,3.2,-1.13,-1.03,1.0,2.0,0.0,1.0,3.0,1.0
118,8.0,8.0,45.0,3.3,0.73,0.75,1.0,4.0,1.0,1.0,4.0,1.0
119,7.0,6.0,43.0,3.4,0.44,0.15,1.0,5.0,0.0,1.0,4.0,1.0
120,6.0,5.0,48.0,3.3,0.27,-0.1,1.0,3.0,0.0,1.0,6.0,1.0
121,9.0,10.0,39.0,3.1,1.25,1.39,1.0,2.0,1.0,1.0,3.0,1.0
122,9.0,8.0,39.0,3.1,1.01,0.76,1.0,4.0,1.0,1.0,3.0,1.0
123,1.0,1.0,36.0,3.2,-2.15,-1.33,1.0,4.0,1.0,1.0,3.0,1.0
124,2.0,3.0,27.0,2.7,-0.72,-0.65,1.0,4.0,1.0,1.0,3.0,1.0
125,10.0,10.0,41.0,3.1,1.53,1.33,1.0,3.0,1.0,1.0,3.0,1.0
126,4.0,3.0,37.0,3.1,-0.26,-0.58,1.0,4.0,1.0,1.0,4.0,1.0
127,2.0,1.0,32.0,2.8,-0.96,-1.44,1.0,4.0,1.0,1.0,2.0,1.0
128,7.0,6.0,44.0,3.3,0.49,0.05,1.0,3.0,0.0,1.0,4.0,1.0
129,2.0,3.0,37.0,2.4,-1.1,-0.73,1.0,3.0,0.0,1.0,3.0,1.0
130,6.0,3.0,38.0,3.1,0.07,-0.83,1.0,3.0,1.0,1.0,3.0,1.0
131,3.0,3.0,44.0,3.5,-0.56,-0.68,1.0,4.0,0.0,1.0,5.0,1.0
132,6.0,6.0,41.0,4.0,0.13,0.15,1.0,4.0,0.0,1.0,4.0,1.0
133,3.0,3.0,48.0,3.3,-0.72,-0.8,1.0,4.0,1.0,1.0,6.0,1.0
134,8.0,9.0,39.0,3.0,0.86,1.3,2.0,2.0,0.0,1.0,3.0,1.0
135,9.0,9.0,34.0,4.0,1.01,1.23,1.0,4.0,0.0,1.0,3.0,1.0
136,4.0,4.0,42.0,3.0,-0.32,-0.42,1.0,4.0,1.0,1.0,3.0,1.0
137,4.0,9.0,36.0,3.8,-0.36,0.88,1.0,3.0,1.0,1.0,3.0,1.0
138,9.0,9.0,35.5,3.9,1.01,1.3,1.0,1.0,0.0,1.0,3.0,1.0
139,4.0,6.0,42.0,3.0,-0.22,0.28,1.0,3.0,0.0,1.0,4.0,1.0
140,8.0,4.0,29.5,3.1,0.66,-0.57,1.0,4.0,1.0,1.0,2.0,1.0
141,10.0,5.0,42.0,3.4,2.05,-0.19,1.0,3.0,1.0,1.0,6.0,1.0
142,6.0,5.0,36.0,2.9,0.08,-0.18,2.0,4.0,1.0,1.0,3.0,1.0
143,3.0,2.0,33.0,2.8,-0.55,-0.9,1.0,3.0,1.0,1.0,3.0,1.0
144,1.0,1.0,38.0,3.2,-1.38,-1.58,1.0,3.0,1.0,0.0,6.0,1.0
145,6.0,4.0,32.0,3.7,0.1,-0.34,1.0,3.0,0.0,1.0,5.0,1.0
146,3.0,7.0,35.0,2.9,-0.64,0.3,1.0,2.0,0.0,1.0,3.0,1.0
147,2.0,3.0,39.5,2.9,-0.91,-0.67,1.0,2.0,0.0,1.0,5.0,1.0
148,8.0,7.0,41.0,3.4,0.88,0.49,1.0,3.0,0.0,1.0,4.0,1.0
149,2.0,2.0,30.0,2.7,-1.01,-1.2,1.0,5.0,1.0,1.0,2.0,1.0
150,10.0,9.0,40.0,3.3,1.55,1.19,1.0,3.0,0.0,1.0,4.0,1.0
151,9.0,8.0,39.0,3.5,1.13,0.58,1.0,4.0,0.0,1.0,4.0,1.0
152,4.0,4.0,32.0,3.2,-0.2,-0.4,1.0,4.0,1.0,1.0,4.0,1.0
153,10.0,10.0,33.0,3.7,1.4,1.33,1.0,3.0,0.0,1.0,3.0,1.0
154,8.0,7.0,34.0,2.6,0.71,0.36,1.0,3.0,0.0,1.0,3.0,1.0
155,5.0,4.0,33.0,3.1,0.01,-0.39,1.0,4.0,1.0,1.0,3.0,1.0
156,1.0,1.0,24.0,2.8,-1.86,-1.77,1.0,2.0,1.0,0.0,3.0,1.0
157,8.0,9.0,48.0,3.9,0.9,1.0,1.0,5.0,1.0,1.0,6.0,1.0
158,9.0,9.0,43.0,3.9,1.15,0.91,1.0,3.0,1.0,1.0,5.0,1.0
159,7.0,7.0,45.0,3.3,0.52,0.38,1.0,5.0,1.0,1.0,5.0,1.0
160,6.0,6.0,44.0,2.7,0.22,0.13,1.0,4.0,1.0,1.0,4.0,1.0
161,7.0,8.0,45.0,3.9,0.46,0.72,1.0,3.0,0.0,1.0,5.0,1.0
162,8.0,8.0,21.0,3.3,0.79,0.71,1.0,1.0,0.0,1.0,1.0,1.0
163,8.0,9.0,44.0,3.7,0.77,1.14,1.0,3.0,1.0,1.0,6.0,1.0
164,4.0,5.0,35.0,3.0,-0.18,-0.16,1.0,3.0,0.0,1.0,3.0,1.0
165,10.0,9.0,46.0,3.3,1.42,0.97,1.0,4.0,1.0,1.0,4.0,1.0
166,6.0,4.0,44.0,2.7,0.1,-0.41,1.0,4.0,1.0,1.0,3.0,1.0
167,4.0,1.0,26.0,2.3,-0.33,-1.52,1.0,3.0,0.0,0.0,5.0,1.0
168,2.0,1.0,31.0,3.5,-1.06,-1.48,1.0,3.0,1.0,1.0,5.0,1.0
169,10.0,10.0,44.0,3.7,1.63,1.41,1.0,3.0,0.0,1.0,5.0,1.0
170,2.0,2.0,45.0,3.7,-0.94,-1.1,1.0,4.0,0.0,1.0,6.0,1.0
171,1.0,1.0,41.0,2.7,-1.32,-1.64,1.0,4.0,1.0,1.0,3.0,0.0
172,4.0,4.0,33.0,3.2,-0.39,-0.55,1.0,4.0,0.0,1.0,3.0,1.0
173,9.0,8.0,38.0,3.4,1.23,0.62,1.0,4.0,0.0,1.0,3.0,1.0
174,6.0,5.0,30.5,3.0,0.35,-0.21,1.0,3.0,1.0,1.0,1.0,0.0
175,8.0,6.0,31.0,2.8,0.68,0.23,1.0,3.0,1.0,1.0,3.0,1.0
176,7.0,7.0,34.0,3.5,0.42,0.5,1.0,4.0,0.0,1.0,2.0,1.0
177,2.0,3.0,37.0,2.3,-0.76,-0.86,1.0,3.0,1.0,1.0,3.0,1.0
178,7.0,6.0,35.0,3.1,0.39,0.06,1.0,4.0,1.0,1.0,4.0,1.0
179,9.0,10.0,34.0,3.2,1.22,1.33,1.0,4.0,0.0,1.0,3.0,1.0
180,9.0,9.0,33.0,3.7,1.19,1.31,1.0,4.0,0.0,1.0,3.0,1.0
181,9.0,9.0,44.0,3.4,1.07,0.9,1.0,3.0,0.0,1.0,4.0,1.0
182,1.0,1.0,32.0,3.0,-1.81,-1.47,1.0,3.0,0.0,0.0,4.0,1.0
183,2.0,1.0,32.0,2.9,-0.88,-1.66,1.0,4.0,1.0,1.0,3.0,1.0
184,4.0,4.0,41.0,3.5,-0.2,-0.4,1.0,4.0,1.0,1.0,4.0,1.0
185,10.0,10.0,39.0,3.6,1.53,1.79,1.0,1.0,0.0,1.0,3.0,1.0
186,5.0,6.0,39.0,3.1,-0.1,0.22,1.0,5.0,1.0,1.0,3.0,1.0
187,3.0,2.0,47.0,4.0,-0.78,-1.08,1.0,3.0,1.0,1.0,6.0,1.0
188,10.0,9.0,39.0,3.8,1.32,0.92,1.0,4.0,1.0,1.0,3.0,1.0
189,10.0,9.0,37.5,2.6,1.59,0.97,2.0,3.0,1.0,1.0,3.0,1.0
190,4.0,3.0,33.0,3.9,-0.31,-0.57,1.0,3.0,1.0,1.0,4.0,1.0
191,4.0,5.0,30.0,3.1,-0.28,-0.09,1.0,4.0,1.0,1.0,2.0,1.0
192,9.0,7.0,31.0,3.0,0.94,0.43,1.0,3.0,0.0,1.0,4.0,1.0
193,4.0,4.0,42.0,3.2,-0.33,-0.29,1.0,4.0,1.0,1.0,5.0,1.0
194,10.0,10.0,38.0,3.7,1.38,1.54,1.0,3.0,1.0,1.0,4.0,1.0
195,4.0,4.0,37.0,2.9,-0.34,-0.33,2.0,3.0,0.0,1.0,3.0,0.0
196,4.0,5.0,36.0,3.4,-0.29,-0.22,2.0,3.0,1.0,1.0,5.0,1.0
197,5.0,6.0,43.0,3.1,0.03,0.13,1.0,2.0,1.0,1.0,5.0,1.0
198,10.0,10.0,44.0,3.1,1.97,2.23,1.0,3.0,1.0,1.0,4.0,1.0
199,7.0,8.0,29.0,2.5,0.32,0.61,1.0,4.0,1.0,1.0,2.0,1.0
200,8.0,8.0,36.0,3.1,0.68,0.63,1.0,4.0,1.0,1.0,3.0,1.0
201,5.0,5.0,23.0,2.3,-0.03,-0.2,1.0,3.0,0.0,0.0,3.0,1.0
202,4.0,5.0,42.0,3.4,-0.3,-0.04,1.0,4.0,1.0,1.0,6.0,1.0
203,10.0,9.0,39.0,2.8,1.34,1.15,2.0,3.0,1.0,1.0,3.0,1.0
204,8.0,9.0,37.0,3.1,0.64,1.08,1.0,4.0,0.0,1.0,3.0,1.0
205,9.0,7.0,39.0,3.0,0.9,0.32,1.0,4.0,1.0,1.0,4.0,1.0
206,9.0,10.0,39.0,4.0,1.06,1.32,1.0,4.0,1.0,1.0,4.0,1.0
207,5.0,5.0,33.0,3.1,-0.05,-0.06,1.0,3.0,1.0,1.0,3.0,1.0
208,3.0,3.0,43.0,3.4,-0.58,-0.75,1.0,4.0,0.0,1.0,5.0,0.0
209,4.0,1.0,32.0,3.0,-0.41,-1.7,1.0,3.0,0.0,1.0,3.0,0.0
210,8.0,8.0,39.0,3.3,0.65,0.67,1.0,3.0,1.0,1.0,6.0,1.0
211,5.0,6.0,45.0,3.5,-0.15,0.13,1.0,4.0,0.0,1.0,6.0,1.0
212,7.0,7.0,32.0,3.9,0.51,0.38,1.0,4.0,0.0,1.0,3.0,1.0
213,5.0,5.0,39.0,3.7,-0.03,-0.12,1.0,3.0,1.0,1.0,3.0,1.0
214,5.0,6.0,40.0,3.9,0.0,0.13,1.0,2.0,0.0,1.0,5.0,1.0
215,6.0,6.0,41.0,3.6,0.17,0.19,1.0,4.0,0.0,1.0,4.0,1.0
216,8.0,8.0,34.0,2.9,0.82,0.68,2.0,3.0,0.0,1.0,2.0,1.0
217,3.0,2.0,35.0,2.6,-0.52,-1.17,1.0,3.0,1.0,1.0,2.0,1.0
218,3.0,3.0,42.0,2.9,-0.61,-0.81,1.0,4.0,1.0,1.0,4.0,1.0
219,3.0,7.0,47.0,3.2,-0.66,0.45,1.0,4.0,1.0,1.0,3.0,1.0
220,7.0,5.0,36.0,3.9,0.57,0.0,1.0,5.0,1.0,1.0,4.0,1.0
221,3.0,5.0,39.0,3.4,-0.7,-0.24,1.0,5.0,1.0,1.0,5.0,1.0
222,9.0,8.0,29.0,2.7,1.05,0.58,1.0,3.0,0.0,0.0,1.0,1.0
223,7.0,7.0,46.0,3.1,0.47,0.42,1.0,4.0,1.0,1.0,4.0,1.0
224,4.0,3.0,42.0,3.3,-0.23,-0.65,1.0,3.0,0.0,1.0,1.0,1.0
225,1.0,1.0,46.0,3.5,-1.43,-1.53,1.0,5.0,1.0,1.0,6.0,1.0
226,10.0,10.0,38.0,3.0,1.38,1.56,1.0,4.0,1.0,1.0,4.0,1.0
227,9.0,9.0,40.0,2.8,0.93,1.13,2.0,4.0,1.0,1.0,4.0,1.0
228,10.0,9.0,46.0,2.9,1.74,1.26,1.0,4.0,0.0,1.0,3.0,1.0
229,5.0,4.0,22.0,3.3,-0.16,-0.52,2.0,4.0,0.0,0.0,4.0,1.0
230,2.0,2.0,40.0,3.7,-0.89,-1.08,1.0,3.0,0.0,1.0,3.0,1.0
231,1.0,3.0,27.0,2.7,-1.5,-0.81,1.0,4.0,1.0,0.0,4.0,1.0
232,8.0,6.0,40.0,3.2,0.67,0.14,1.0,5.0,1.0,1.0,3.0,1.0
233,5.0,6.0,39.0,3.5,-0.04,0.16,1.0,3.0,1.0,1.0,4.0,1.0
234,1.0,1.0,31.0,2.7,-1.79,-1.77,1.0,3.0,0.0,0.0,3.0,0.0
235,8.0,6.0,37.0,3.6,0.58,0.25,1.0,4.0,0.0,1.0,3.0,1.0
236,6.0,5.0,27.5,3.1,0.25,-0.11,1.0,4.0,1.0,1.0,4.0,1.0
237,2.0,1.0,44.0,2.9,-1.13,-1.83,1.0,4.0,1.0,1.0,4.0,1.0
238,4.0,7.0,38.0,3.1,-0.27,0.32,1.0,3.0,0.0,1.0,3.0,1.0
239,7.0,8.0,37.0,3.3,0.55,0.57,1.0,4.0,0.0,1.0,6.0,1.0
240,1.0,1.0,39.0,3.5,-1.44,-1.72,1.0,4.0,0.0,0.0,6.0,1.0
241,4.0,1.0,33.0,3.0,-0.34,-1.34,1.0,4.0,0.0,1.0,3.0,1.0
242,6.0,9.0,34.0,3.5,0.1,0.88,2.0,4.0,0.0,1.0,3.0,1.0
243,2.0,1.0,40.5,3.6,-1.12,-1.4,1.0,4.0,1.0,1.0,5.0,1.0
244,9.0,9.0,43.0,3.3,0.95,1.12,1.0,3.0,0.0,1.0,3.0,1.0
245,4.0,5.0,41.0,3.0,-0.39,-0.23,1.0,2.0,1.0,1.0,4.0,1.0
246,10.0,9.0,48.0,3.5,1.99,1.26,1.0,2.0,1.0,1.0,4.0,1.0
247,5.0,5.0,42.0,3.1,0.01,-0.23,1.0,3.0,0.0,1.0,4.0,1.0
248,7.0,7.0,29.5,3.6,0.47,0.36,1.0,4.0,1.0,1.0,3.0,1.0
249,4.0,5.0,40.0,3.4,-0.26,-0.16,1.0,5.0,0.0,1.0,5.0,1.0
250,8.0,6.0,35.0,3.3,0.66,0.1,1.0,4.0,1.0,1.0,4.0,1.0
251,4.0,5.0,33.0,3.1,-0.3,-0.29,1.0,4.0,1.0,1.0,2.0,1.0
252,4.0,5.0,33.0,3.5,-0.22,-0.27,1.0,3.0,1.0,1.0,3.0,0.0
253,10.0,10.0,42.0,3.5,1.38,1.63,1.0,3.0,0.0,1.0,4.0,1.0
254,7.0,9.0,44.0,3.6,0.55,1.19,1.0,3.0,1.0,1.0,4.0,1.0
255,9.0,8.0,39.0,3.5,1.19,0.55,1.0,2.0,0.0,1.0,3.0,1.0
256,9.0,8.0,46.0,3.1,1.04,0.61,1.0,4.0,0.0,1.0,5.0,1.0
257,4.0,5.0,42.0,3.4,-0.25,-0.1,1.0,4.0,0.0,1.0,4.0,1.0
258,9.0,10.0,48.0,3.8,1.3,1.3,1.0,4.0,1.0,1.0,4.0,1.0
259,10.0,10.0,37.0,3.0,1.53,1.72,1.0,4.0,1.0,1.0,3.0,1.0
260,7.0,7.0,30.3,2.7,0.3,0.32,1.0,4.0,0.0,1.0,2.0,1.0
261,7.0,7.0,40.0,3.0,0.53,0.47,1.0,4.0,0.0,1.0,4.0,1.0
262,8.0,6.0,47.0,2.9,0.71,0.02,1.0,4.0,1.0,1.0,5.0,1.0
263,3.0,2.0,39.0,2.4,-0.47,-1.04,1.0,3.0,0.0,1.0,3.0,1.0
264,6.0,8.0,38.0,3.6,0.11,0.72,1.0,4.0,1.0,1.0,3.0,1.0
265,6.0,4.0,40.0,3.2,0.1,-0.51,2.0,4.0,0.0,1.0,3.0,1.0
266,10.0,9.0,40.0,3.4,1.34,0.95,1.0,4.0,0.0,1.0,3.0,1.0
267,10.0,2.0,37.0,2.3,2.6,-0.9,1.0,2.0,0.0,0.0,4.0,1.0
268,9.0,9.0,34.0,3.6,1.24,1.22,1.0,4.0,1.0,1.0,4.0,1.0
269,6.0,7.0,39.0,3.2,0.28,0.46,1.0,4.0,0.0,1.0,4.0,1.0
270,3.0,6.0,35.0,3.5,-0.6,0.07,1.0,4.0,0.0,1.0,3.0,1.0
271,3.0,4.0,45.0,3.8,-0.56,-0.3,1.0,3.0,1.0,1.0,6.0,1.0
