inputId,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
21,44,self-employed,divorced,secondary,0,8,0,0,cellular,26,jul,423,4,-1,0,unknown,1
22,54,entrepreneur,married,secondary,0,0,1,0,cellular,5,may,387,2,287,1,failure,0
23,30,services,married,secondary,0,0,1,0,unknown,9,may,20,1,-1,0,unknown,0
24,32,management,single,tertiary,0,520,0,0,cellular,3,feb,443,2,-1,0,unknown,1
25,28,blue-collar,single,primary,0,0,1,1,unknown,3,jun,380,4,-1,0,unknown,0
26,46,retired,married,secondary,0,2396,0,0,cellular,8,may,307,1,-1,0,unknown,0
27,29,management,single,unknown,0,560,0,0,cellular,5,apr,459,1,307,1,failure,1
28,45,technician,divorced,tertiary,0,0,0,0,cellular,27,aug,58,4,-1,0,unknown,0
29,29,services,single,secondary,0,146,1,0,unknown,19,may,104,2,-1,0,unknown,0
30,44,entrepreneur,married,tertiary,0,-1,0,1,cellular,21,nov,63,2,-1,0,unknown,0
31,41,management,married,tertiary,0,517,1,0,unknown,5,may,251,1,-1,0,unknown,0
32,45,management,divorced,tertiary,0,2096,0,0,cellular,21,nov,127,1,100,2,failure,0
33,40,blue-collar,single,primary,0,1530,1,0,cellular,20,apr,8,3,315,1,failure,0
34,41,services,single,tertiary,0,285,1,1,unknown,29,may,135,1,-1,0,unknown,0
35,60,blue-collar,married,secondary,0,241,1,0,telephone,30,jul,42,3,-1,0,unknown,0
36,53,management,divorced,primary,0,255,0,0,cellular,19,nov,126,1,-1,0,unknown,0
37,33,management,married,tertiary,0,1122,0,0,cellular,30,apr,187,10,-1,0,unknown,0
38,30,management,single,tertiary,0,717,1,0,cellular,13,aug,130,3,-1,0,unknown,0
39,32,management,married,tertiary,0,422,1,0,cellular,3,feb,182,5,-1,0,unknown,0
40,59,blue-collar,married,primary,0,-546,0,0,cellular,25,aug,1152,6,-1,0,unknown,1
41,55,self-employed,married,secondary,0,4493,0,0,cellular,4,aug,272,1,-1,0,unknown,0
42,58,retired,married,primary,0,10628,0,0,cellular,30,jul,189,4,-1,0,unknown,0
43,53,management,married,unknown,0,12001,0,0,unknown,6,jun,207,1,-1,0,unknown,0
44,36,technician,single,secondary,0,-272,0,1,cellular,4,jul,53,6,-1,0,unknown,0
45,49,technician,married,tertiary,0,8422,1,0,cellular,20,nov,166,3,-1,0,unknown,0
46,33,blue-collar,married,secondary,0,-267,1,0,cellular,20,apr,1030,3,-1,0,unknown,1
47,46,self-employed,married,primary,0,49,0,0,cellular,27,aug,197,6,-1,0,unknown,0
48,46,management,married,tertiary,0,0,0,0,cellular,15,jun,83,4,-1,0,unknown,0
49,36,technician,married,secondary,0,4613,0,0,cellular,2,apr,320,1,134,2,failure,0
50,48,management,single,tertiary,0,-295,0,1,cellular,28,jan,121,1,190,2,failure,0
51,46,technician,divorced,secondary,0,648,0,0,cellular,5,aug,281,1,-1,0,unknown,0
52,31,admin.,single,secondary,0,358,1,0,unknown,14,may,180,1,-1,0,unknown,0
53,35,retired,married,primary,0,329,0,1,cellular,8,jul,520,3,-1,0,unknown,0
54,50,services,married,secondary,0,107,1,0,unknown,9,may,71,4,-1,0,unknown,0
55,52,blue-collar,single,secondary,0,359,1,0,cellular,30,jul,444,2,-1,0,unknown,0
56,52,retired,married,tertiary,0,350,0,1,cellular,9,jul,156,1,-1,0,unknown,0
57,35,management,married,tertiary,0,739,1,0,telephone,12,may,13,7,172,4,other,0
58,50,entrepreneur,married,tertiary,0,2442,0,0,cellular,3,feb,145,1,-1,0,unknown,0
59,59,blue-collar,married,secondary,0,437,1,0,telephone,15,may,73,4,-1,0,unknown,0
60,25,admin.,single,tertiary,0,40,0,0,unknown,12,may,64,1,-1,0,unknown,0
61,33,blue-collar,married,secondary,0,285,0,1,unknown,3,jul,267,1,-1,0,unknown,0
62,27,technician,single,secondary,0,1511,1,0,cellular,4,may,74,1,-1,0,unknown,0
63,35,technician,divorced,secondary,0,44,1,1,cellular,7,may,366,1,167,2,failure,0
64,28,technician,divorced,tertiary,0,594,1,1,unknown,18,jun,54,3,-1,0,unknown,0
65,35,management,single,tertiary,1,-1980,1,1,cellular,11,aug,227,1,-1,0,unknown,0
66,46,management,divorced,tertiary,0,-49,1,0,unknown,20,jun,10,23,-1,0,unknown,0
67,32,entrepreneur,married,tertiary,0,28,0,0,cellular,5,aug,287,1,-1,0,unknown,0
68,50,services,married,secondary,0,2362,1,1,cellular,23,jul,59,4,-1,0,unknown,0
69,44,management,married,tertiary,0,423,0,0,cellular,3,jun,136,6,83,5,success,0
70,26,blue-collar,single,secondary,0,5005,0,1,cellular,3,apr,117,1,-1,0,unknown,1
71,41,admin.,single,secondary,0,-109,1,1,cellular,11,may,1038,1,370,1,failure,1
72,28,management,married,tertiary,0,1918,0,0,cellular,18,oct,333,1,616,1,failure,0
73,70,retired,divorced,primary,0,828,0,0,cellular,28,dec,433,1,-1,0,unknown,0
74,79,retired,married,primary,0,1058,0,0,telephone,17,may,564,5,-1,0,unknown,0
75,25,technician,single,secondary,0,3843,0,0,cellular,18,oct,159,2,95,2,failure,0
76,23,admin.,married,tertiary,0,2,1,0,unknown,16,may,140,1,-1,0,unknown,0
77,77,retired,married,primary,0,2223,0,0,telephone,10,aug,365,2,187,1,success,0
78,52,technician,married,tertiary,0,1785,0,0,cellular,13,aug,349,1,-1,0,unknown,0
79,41,admin.,single,secondary,0,0,0,0,telephone,25,jul,286,2,-1,0,unknown,0
80,33,blue-collar,single,secondary,0,381,1,0,cellular,7,may,1957,1,-1,0,unknown,0
81,31,management,married,tertiary,0,11,1,1,cellular,20,aug,155,2,-1,0,unknown,0
82,44,technician,married,secondary,0,1196,1,1,unknown,28,may,61,1,-1,0,unknown,0
83,26,blue-collar,single,primary,0,1538,0,1,cellular,28,jul,97,3,-1,0,unknown,0
84,39,management,married,tertiary,0,266,1,1,cellular,12,may,251,1,-1,0,unknown,0
85,60,technician,divorced,primary,0,-85,0,1,telephone,8,jul,58,2,-1,0,unknown,0
86,55,management,married,tertiary,0,42,1,0,telephone,11,may,386,2,-1,0,unknown,0
87,36,technician,married,secondary,0,627,0,1,cellular,4,feb,146,3,244,1,other,0
88,30,technician,single,secondary,0,-156,0,1,cellular,10,jul,119,2,-1,0,unknown,0
89,38,blue-collar,married,secondary,0,1165,1,0,cellular,13,aug,784,3,94,10,failure,1
90,33,services,married,secondary,0,174,1,0,cellular,15,may,45,1,298,1,other,0
91,45,blue-collar,single,secondary,1,0,1,0,cellular,14,may,17,7,287,13,other,0
92,31,management,married,secondary,0,678,1,0,cellular,29,jan,249,1,259,4,failure,0
93,28,student,single,unknown,0,78,0,0,cellular,4,dec,232,3,310,2,failure,1
94,43,technician,married,secondary,0,297,1,0,cellular,14,oct,119,3,-1,0,unknown,0
95,42,self-employed,married,secondary,0,95,0,0,cellular,19,aug,119,6,-1,0,unknown,0
96,39,services,married,secondary,0,3165,1,0,cellular,15,may,56,1,368,2,failure,0
97,53,admin.,married,secondary,0,35,1,0,cellular,8,apr,97,1,-1,0,unknown,0
98,41,technician,married,secondary,0,77,1,0,cellular,7,may,56,1,-1,0,unknown,0
99,46,services,married,secondary,0,1757,1,0,unknown,14,may,380,4,-1,0,unknown,0
100,50,blue-collar,married,secondary,0,2641,1,0,unknown,30,may,97,3,-1,0,unknown,0
101,53,housemaid,single,tertiary,0,3275,0,0,unknown,6,jun,527,2,-1,0,unknown,0
102,59,blue-collar,married,unknown,0,139,0,0,unknown,5,jun,153,1,-1,0,unknown,0
103,56,housemaid,divorced,tertiary,0,1059,0,1,unknown,6,jun,57,2,-1,0,unknown,0
104,41,management,single,tertiary,0,1113,1,1,unknown,9,jun,388,12,-1,0,unknown,0
105,56,retired,married,secondary,0,1956,0,0,cellular,7,aug,126,2,-1,0,unknown,0
106,30,technician,single,secondary,0,2782,0,0,cellular,14,aug,205,2,-1,0,unknown,0
107,37,blue-collar,single,secondary,0,90,1,0,cellular,17,apr,416,1,340,5,failure,0
108,23,management,single,tertiary,0,2143,0,0,cellular,30,mar,180,2,-1,0,unknown,1
109,30,management,single,tertiary,0,3967,1,0,unknown,23,may,534,1,-1,0,unknown,0
110,24,student,single,unknown,0,1082,0,0,cellular,24,jun,185,1,-1,0,unknown,0
111,35,technician,married,secondary,0,483,1,0,cellular,11,jul,165,2,-1,0,unknown,0
112,74,retired,married,primary,0,10253,0,0,telephone,20,aug,84,1,-1,0,unknown,0
113,41,blue-collar,married,primary,0,-45,1,1,unknown,9,may,121,4,-1,0,unknown,0
114,34,technician,single,tertiary,0,449,0,0,cellular,8,aug,765,3,-1,0,unknown,0
115,43,technician,married,secondary,0,369,1,0,unknown,4,jun,75,3,-1,0,unknown,0
116,32,entrepreneur,married,tertiary,0,598,0,0,cellular,18,aug,135,6,-1,0,unknown,0
117,24,management,single,tertiary,0,1506,0,0,cellular,12,jun,239,2,95,4,success,1
118,33,self-employed,single,tertiary,0,1049,0,0,cellular,4,may,126,4,-1,0,unknown,0
119,33,services,married,secondary,0,260,1,0,cellular,31,mar,248,1,-1,0,unknown,0
120,36,technician,married,secondary,0,480,0,0,cellular,20,oct,213,1,-1,0,unknown,1
121,59,technician,married,secondary,0,7766,1,0,cellular,25,feb,1422,1,461,1,failure,1
122,32,self-employed,married,tertiary,0,1423,0,0,cellular,6,aug,1249,4,-1,0,unknown,1
123,40,services,divorced,secondary,0,694,1,0,cellular,31,jul,75,14,-1,0,unknown,0
124,32,blue-collar,married,secondary,0,333,1,0,cellular,8,may,501,2,-1,0,unknown,1
125,35,technician,single,unknown,0,726,1,0,cellular,5,may,163,1,-1,0,unknown,0
126,32,technician,single,tertiary,0,1190,1,0,cellular,8,aug,131,4,-1,0,unknown,0
127,59,technician,married,unknown,0,0,0,0,cellular,5,feb,214,1,-1,0,unknown,0
128,38,admin.,divorced,secondary,0,19,1,0,cellular,5,feb,1130,3,251,2,success,1
129,33,services,divorced,secondary,1,339,1,0,unknown,23,may,496,4,-1,0,unknown,0
130,59,management,married,tertiary,0,0,0,0,cellular,27,aug,87,4,-1,0,unknown,0
131,40,blue-collar,married,secondary,0,877,1,0,unknown,20,may,207,6,-1,0,unknown,0
132,46,blue-collar,married,primary,0,771,1,0,cellular,18,nov,708,1,-1,0,unknown,0
133,48,blue-collar,married,secondary,0,1039,1,0,cellular,17,nov,581,1,-1,0,unknown,0
134,61,retired,married,secondary,0,86,0,0,cellular,23,oct,149,1,-1,0,unknown,1
135,30,technician,single,secondary,0,0,0,0,cellular,13,aug,173,4,562,1,failure,0
136,39,management,single,tertiary,0,-50,1,0,unknown,27,may,59,1,-1,0,unknown,0
137,42,self-employed,married,tertiary,0,52,1,0,cellular,16,apr,432,1,-1,0,unknown,0
138,39,entrepreneur,married,tertiary,0,338,1,0,unknown,9,may,107,4,-1,0,unknown,0
139,42,unknown,single,unknown,1,61,0,0,unknown,20,jun,115,1,-1,0,unknown,0
140,25,blue-collar,single,secondary,0,217,1,0,cellular,18,may,504,1,-1,0,unknown,1
141,51,self-employed,married,secondary,0,95,1,0,cellular,23,jul,1309,4,-1,0,unknown,1
142,32,services,single,secondary,0,6857,0,0,cellular,6,aug,85,1,185,1,failure,0
143,49,technician,divorced,secondary,0,265,1,0,unknown,12,may,274,6,-1,0,unknown,0
144,26,services,single,secondary,0,0,1,0,cellular,15,may,23,8,-1,0,unknown,0
145,33,admin.,divorced,secondary,0,661,1,0,cellular,11,aug,108,1,99,7,failure,0
146,31,technician,single,secondary,0,0,1,0,cellular,6,may,239,3,-1,0,unknown,0
147,48,admin.,married,secondary,0,2262,0,0,cellular,4,aug,70,1,-1,0,unknown,0
148,39,self-employed,married,secondary,0,1304,1,1,cellular,7,may,183,3,-1,0,unknown,0
149,39,housemaid,married,primary,0,0,1,0,cellular,19,aug,92,4,-1,0,unknown,0
150,28,blue-collar,married,secondary,0,0,1,0,cellular,15,may,6,4,-1,0,unknown,0
151,41,technician,married,tertiary,0,0,0,0,unknown,20,jun,95,1,-1,0,unknown,0
152,52,blue-collar,married,primary,0,36,0,0,cellular,13,aug,109,2,-1,0,unknown,0
153,50,management,divorced,secondary,0,458,0,0,cellular,3,feb,184,3,-1,0,unknown,0
154,39,housemaid,married,primary,0,-44,1,0,unknown,27,may,228,1,-1,0,unknown,0
155,28,management,single,tertiary,0,233,0,0,telephone,2,feb,51,2,-1,0,unknown,0
156,30,management,single,tertiary,0,536,0,0,cellular,14,jan,362,2,91,2,success,1
157,78,housemaid,married,secondary,0,499,0,0,telephone,16,mar,80,4,-1,0,unknown,0
158,46,admin.,single,secondary,0,148,1,0,cellular,5,may,85,4,-1,0,unknown,0
159,47,retired,divorced,secondary,0,47,0,0,cellular,29,jan,489,1,-1,0,unknown,0
160,59,admin.,married,secondary,0,1001,0,0,unknown,6,jun,175,2,-1,0,unknown,0
161,30,blue-collar,married,secondary,0,4389,1,0,cellular,30,apr,82,6,-1,0,unknown,0
162,39,management,married,tertiary,0,568,1,1,unknown,30,may,206,3,-1,0,unknown,0
163,38,technician,married,tertiary,0,202,0,0,cellular,5,aug,1311,2,-1,0,unknown,1
164,34,admin.,married,secondary,0,4902,1,0,cellular,6,may,59,1,167,1,failure,0
165,54,blue-collar,single,secondary,0,40,1,0,cellular,18,jul,172,2,-1,0,unknown,0
166,33,entrepreneur,single,tertiary,0,75,1,0,cellular,14,jul,126,3,-1,0,unknown,0
167,49,technician,single,secondary,0,0,1,0,unknown,20,may,484,2,-1,0,unknown,0
168,38,management,divorced,tertiary,0,441,1,0,cellular,30,jan,67,1,-1,0,unknown,0
169,30,technician,single,secondary,0,518,1,0,unknown,2,jun,21,1,-1,0,unknown,0
170,26,student,single,secondary,0,2572,1,0,cellular,5,may,620,1,-1,0,unknown,0
171,36,management,married,tertiary,0,255,0,0,cellular,22,may,970,2,92,2,other,1
172,45,admin.,divorced,primary,0,429,1,0,cellular,22,apr,147,1,181,1,success,1
173,59,admin.,married,secondary,0,1914,1,0,cellular,7,jul,126,3,-1,0,unknown,0
174,30,blue-collar,married,secondary,0,578,1,1,cellular,17,apr,71,2,317,1,failure,0
175,46,admin.,married,secondary,0,-143,1,0,unknown,23,may,1034,9,-1,0,unknown,0
176,50,technician,divorced,secondary,0,148,1,0,cellular,17,apr,413,2,-1,0,unknown,0
177,38,blue-collar,married,secondary,0,1663,1,0,cellular,13,apr,217,3,327,1,failure,0
178,46,management,divorced,tertiary,0,233,1,1,cellular,14,may,57,4,-1,0,unknown,0
179,35,unemployed,single,primary,1,-84,0,0,cellular,9,feb,19,11,-1,0,unknown,0
180,59,blue-collar,married,primary,0,754,0,0,cellular,11,aug,225,4,-1,0,unknown,0
181,38,services,married,secondary,0,-762,1,1,unknown,30,may,408,2,-1,0,unknown,0
182,39,self-employed,married,primary,0,185,1,0,unknown,29,may,513,3,-1,0,unknown,0
183,25,student,single,secondary,0,1116,1,0,cellular,2,mar,170,3,-1,0,unknown,0
184,29,services,married,secondary,0,363,1,0,cellular,15,may,164,1,-1,0,unknown,0
185,36,admin.,single,tertiary,0,994,0,0,cellular,6,may,211,1,90,6,success,1
186,37,blue-collar,married,secondary,1,-399,1,1,unknown,3,jun,21,3,-1,0,unknown,0
187,44,management,married,tertiary,0,-600,1,0,cellular,18,aug,360,1,-1,0,unknown,0
188,47,blue-collar,married,primary,0,145,0,0,unknown,17,jun,255,1,-1,0,unknown,0
189,39,admin.,single,secondary,0,782,1,0,cellular,20,nov,162,3,-1,0,unknown,0
190,38,self-employed,married,secondary,0,215,1,0,cellular,20,nov,70,1,167,1,failure,0
191,45,admin.,married,secondary,0,925,0,0,cellular,6,aug,406,2,-1,0,unknown,1
192,36,technician,divorced,secondary,0,19,1,1,unknown,26,may,109,1,-1,0,unknown,0
193,39,services,married,secondary,0,52,0,0,telephone,2,feb,1420,3,-1,0,unknown,1
194,49,technician,married,secondary,0,324,0,0,cellular,4,aug,227,1,-1,0,unknown,0
195,35,blue-collar,married,primary,0,441,1,0,unknown,14,may,8,1,-1,0,unknown,0
196,42,retired,married,primary,0,127,0,1,cellular,17,jul,199,2,-1,0,unknown,0
197,41,services,divorced,secondary,0,1400,0,0,cellular,28,jan,191,1,-1,0,unknown,0
198,25,student,single,secondary,0,8,0,0,cellular,22,apr,107,2,-1,0,unknown,1
199,49,services,married,secondary,0,823,0,0,cellular,8,aug,780,4,-1,0,unknown,1
200,33,technician,single,secondary,0,608,0,0,cellular,31,jul,58,4,-1,0,unknown,0
201,36,self-employed,married,secondary,0,1245,1,0,unknown,6,jun,1469,9,-1,0,unknown,1
202,47,blue-collar,married,primary,0,961,0,0,cellular,29,aug,45,11,-1,0,unknown,0
203,42,admin.,married,primary,0,1547,1,1,unknown,27,may,272,3,-1,0,unknown,0
204,32,management,single,secondary,0,3829,0,1,cellular,20,nov,267,1,-1,0,unknown,0
205,28,blue-collar,married,primary,0,0,1,0,cellular,16,jul,129,2,-1,0,unknown,0
206,28,admin.,single,secondary,0,-103,1,0,unknown,12,may,252,4,-1,0,unknown,0
207,45,management,married,tertiary,0,849,0,0,unknown,13,may,60,1,-1,0,unknown,0
208,63,retired,married,secondary,0,3579,0,0,telephone,11,nov,93,2,-1,0,unknown,0
209,49,management,married,tertiary,0,3063,1,0,cellular,18,may,68,2,-1,0,unknown,0
210,31,services,married,secondary,0,525,1,1,unknown,21,may,159,1,-1,0,unknown,0
211,30,management,single,tertiary,0,265,0,0,cellular,25,nov,295,1,93,3,success,0
212,57,admin.,married,secondary,0,100,0,0,unknown,28,may,23,16,-1,0,unknown,0
213,37,blue-collar,married,secondary,0,456,0,1,telephone,10,jul,85,6,-1,0,unknown,0
214,51,admin.,married,secondary,0,3,0,1,unknown,23,may,259,2,-1,0,unknown,0
215,71,retired,married,tertiary,0,1486,0,0,telephone,21,apr,110,3,-1,0,unknown,0
216,36,unemployed,married,primary,0,0,0,0,cellular,6,feb,409,1,-1,0,unknown,0
217,53,services,married,secondary,0,341,0,0,cellular,12,aug,90,2,104,2,success,0
218,23,services,single,secondary,0,292,1,0,cellular,13,may,437,2,-1,0,unknown,0
219,44,management,single,secondary,0,1012,0,0,unknown,9,jun,440,1,-1,0,unknown,0
220,46,admin.,married,secondary,0,368,0,0,cellular,20,aug,293,1,90,4,other,1
221,55,services,single,secondary,0,987,0,0,cellular,18,aug,63,4,-1,0,unknown,0
222,56,management,married,tertiary,0,830,1,1,unknown,6,may,1201,1,-1,0,unknown,1
223,41,technician,married,secondary,0,801,0,0,cellular,28,aug,65,4,-1,0,unknown,0
224,43,admin.,married,tertiary,0,279,1,0,cellular,17,nov,111,1,-1,0,unknown,0
225,44,technician,single,secondary,0,-27,1,1,unknown,14,may,100,3,-1,0,unknown,0
226,70,retired,married,secondary,0,1310,0,0,cellular,14,apr,318,1,181,1,failure,0
227,29,technician,single,tertiary,0,218,1,0,cellular,12,apr,169,1,-1,0,unknown,0
228,49,technician,married,primary,0,1878,1,0,unknown,14,may,267,1,-1,0,unknown,0
229,38,admin.,married,secondary,0,689,1,0,cellular,25,jul,270,1,-1,0,unknown,0
230,46,blue-collar,married,secondary,0,130,1,0,cellular,14,may,106,1,349,1,failure,0
231,51,services,married,secondary,0,135,0,0,cellular,25,aug,105,4,-1,0,unknown,0
232,29,admin.,single,tertiary,0,14,0,0,cellular,29,sep,87,1,120,1,failure,0
233,50,technician,married,secondary,0,85,0,0,cellular,14,jul,130,3,-1,0,unknown,0
234,31,admin.,single,secondary,0,40,0,0,cellular,4,aug,158,1,104,2,failure,0
235,37,admin.,single,tertiary,0,1000,1,0,cellular,15,jun,322,1,90,1,success,1
236,34,services,married,secondary,0,205,1,0,unknown,7,may,312,1,-1,0,unknown,0
237,43,management,married,tertiary,0,0,0,0,cellular,18,aug,241,5,-1,0,unknown,0
238,48,management,married,tertiary,0,866,0,0,cellular,29,jan,146,2,-1,0,unknown,0
239,34,management,single,tertiary,0,757,0,0,cellular,18,aug,37,4,-1,0,unknown,0
240,51,technician,married,secondary,0,52,0,0,cellular,13,aug,114,2,-1,0,unknown,0
241,33,management,married,tertiary,0,455,1,1,unknown,29,may,122,10,-1,0,unknown,0
242,34,management,single,tertiary,0,1049,1,0,cellular,11,jul,55,1,-1,0,unknown,0
243,39,management,married,secondary,0,794,1,0,cellular,4,feb,71,1,243,3,failure,0
244,29,technician,single,tertiary,0,1669,0,0,cellular,30,apr,196,1,86,1,success,0
245,26,admin.,single,secondary,0,338,0,0,cellular,29,oct,209,1,188,2,unknown,1
246,44,management,married,tertiary,0,309,1,0,cellular,5,feb,676,1,-1,0,unknown,1
247,29,admin.,single,secondary,0,130,0,0,unknown,4,jun,134,2,-1,0,unknown,0
248,56,blue-collar,married,primary,0,379,0,0,cellular,13,aug,58,5,-1,0,unknown,0
249,34,technician,married,secondary,0,2,1,0,cellular,25,aug,324,4,-1,0,unknown,0
250,61,retired,married,secondary,0,4248,1,0,unknown,14,may,71,1,-1,0,unknown,0
251,30,blue-collar,married,secondary,0,938,1,0,unknown,14,may,159,1,-1,0,unknown,0
252,39,management,single,tertiary,0,-85,1,0,unknown,8,may,423,2,-1,0,unknown,0
253,58,management,married,tertiary,0,14922,0,0,cellular,5,aug,68,2,-1,0,unknown,0
254,32,management,single,tertiary,0,11797,1,0,cellular,11,aug,95,2,-1,0,unknown,0
255,45,unemployed,married,primary,0,0,1,0,cellular,2,feb,570,2,-1,0,unknown,0
256,50,technician,divorced,secondary,0,75,1,0,cellular,6,aug,101,1,-1,0,unknown,0
257,34,blue-collar,single,secondary,0,4536,1,0,cellular,21,nov,963,1,-1,0,unknown,1
258,32,blue-collar,single,secondary,0,-219,1,0,cellular,7,may,446,6,342,2,failure,0
259,29,management,married,tertiary,0,30,0,0,cellular,13,aug,83,1,105,1,failure,0
260,31,management,single,tertiary,0,-307,1,1,unknown,26,may,91,2,-1,0,unknown,0
261,46,entrepreneur,married,secondary,0,4,1,1,unknown,27,jun,216,1,-1,0,unknown,0
262,58,entrepreneur,married,tertiary,0,0,1,1,cellular,4,feb,304,2,229,2,failure,0
263,36,technician,married,secondary,0,3832,1,0,cellular,11,jul,393,1,-1,0,unknown,0
264,47,management,married,tertiary,0,60,0,0,unknown,2,jun,282,7,-1,0,unknown,0
265,23,admin.,single,secondary,0,5,1,0,unknown,13,may,93,1,-1,0,unknown,0
266,48,admin.,married,secondary,0,749,1,0,unknown,2,jun,56,3,-1,0,unknown,0
267,36,blue-collar,married,primary,0,8135,1,0,unknown,20,may,522,1,-1,0,unknown,0
268,34,blue-collar,single,primary,0,505,1,0,unknown,13,may,351,1,-1,0,unknown,0
269,56,services,married,primary,0,444,1,0,unknown,6,jun,432,1,-1,0,unknown,0
270,53,blue-collar,married,secondary,0,175,1,0,unknown,8,may,49,4,-1,0,unknown,0
271,33,technician,married,secondary,0,8,0,0,cellular,29,aug,462,2,-1,0,unknown,0
272,55,management,married,tertiary,0,1402,1,0,cellular,17,nov,66,1,-1,0,unknown,0
273,32,technician,single,tertiary,0,5204,0,0,cellular,8,aug,31,2,-1,0,unknown,0
274,37,technician,married,secondary,0,480,0,0,cellular,22,oct,344,2,182,8,other,1
275,27,blue-collar,divorced,secondary,0,0,1,0,telephone,13,may,363,1,359,3,failure,0
276,48,blue-collar,married,primary,0,104,0,0,cellular,8,aug,103,4,-1,0,unknown,0
277,32,technician,divorced,secondary,0,18,0,0,unknown,26,may,52,1,-1,0,unknown,0
278,48,management,married,tertiary,0,1167,1,1,cellular,26,jan,122,4,50,4,other,0
279,49,management,married,secondary,0,1623,1,0,cellular,19,nov,1081,2,-1,0,unknown,1
280,35,blue-collar,single,primary,0,21,1,0,unknown,27,may,129,1,-1,0,unknown,0
281,43,management,married,tertiary,0,2,0,1,cellular,20,aug,472,2,-1,0,unknown,0
282,54,technician,married,secondary,0,324,1,0,telephone,13,may,51,1,-1,0,unknown,0
283,28,student,single,secondary,0,24,1,0,cellular,29,jan,284,2,196,2,failure,0
284,29,management,married,tertiary,0,246,1,0,unknown,9,may,45,1,-1,0,unknown,0
285,59,retired,married,tertiary,0,3843,0,0,cellular,11,aug,104,4,-1,0,unknown,0
286,54,admin.,married,secondary,0,42,1,0,unknown,12,may,192,2,-1,0,unknown,0
287,52,services,married,secondary,0,3241,1,0,unknown,13,may,105,1,-1,0,unknown,0
288,27,admin.,married,secondary,1,-517,1,0,cellular,14,jul,172,3,-1,0,unknown,0
289,26,blue-collar,single,primary,0,52,1,0,cellular,20,apr,271,1,300,2,success,0
290,52,management,married,secondary,0,4096,1,0,unknown,4,jun,208,4,-1,0,unknown,0
291,59,housemaid,married,primary,0,182,0,0,cellular,12,aug,90,1,104,2,failure,0
292,31,management,married,tertiary,0,1164,1,1,cellular,18,jul,238,3,-1,0,unknown,0
293,52,technician,single,secondary,0,436,0,1,unknown,22,mar,95,1,-1,0,unknown,1
294,54,entrepreneur,married,tertiary,0,1129,0,1,cellular,28,jan,242,1,184,8,failure,0
295,63,retired,married,secondary,0,2734,0,0,cellular,7,apr,72,5,-1,0,unknown,0
296,56,management,married,primary,0,405,0,0,cellular,21,jul,251,2,-1,0,unknown,0
297,50,self-employed,divorced,tertiary,0,13,1,0,cellular,20,apr,76,1,-1,0,unknown,1
298,39,management,married,tertiary,0,1241,1,0,cellular,5,jun,138,2,-1,0,unknown,0
299,45,unemployed,divorced,secondary,0,728,1,1,cellular,18,nov,107,1,-1,0,unknown,0
300,32,management,married,secondary,0,350,1,0,unknown,28,may,110,2,-1,0,unknown,0
301,50,services,married,secondary,0,3169,0,0,cellular,13,aug,399,1,430,1,failure,1
302,34,admin.,divorced,secondary,0,661,1,0,cellular,3,feb,122,1,96,9,other,0
303,30,entrepreneur,married,primary,0,495,1,0,cellular,17,apr,384,2,-1,0,unknown,0
