inputId TrueClass PredictedClass SensitiveAttr SetName
149 1 0 1 valid
150 0 0 1 valid
151 1 1 1 valid
152 0 0 1 valid
153 0 0 1 valid
154 0 0 0 valid
155 0 0 1 valid
156 0 0 1 valid
157 1 1 1 valid
158 0 0 1 valid
159 1 1 1 valid
160 0 0 1 valid
161 0 0 0 valid
162 0 0 1 valid
163 0 0 1 valid
164 0 0 1 valid
165 0 0 1 valid
166 0 0 1 valid
167 0 1 1 valid
168 0 0 1 valid
169 0 0 1 valid
170 1 0 1 valid
171 0 0 0 valid
172 1 1 1 valid
173 0 0 1 valid
174 0 0 1 valid
175 0 0 1 valid
176 0 0 1 valid
177 0 0 1 valid
178 0 0 0 valid
179 0 1 1 valid
180 0 0 1 valid
181 1 0 1 valid
182 1 0 1 valid
183 0 0 0 valid
184 0 0 0 valid
185 1 1 1 valid
186 0 0 1 valid
187 0 0 1 valid
188 0 0 1 valid
189 0 0 1 valid
190 1 1 1 valid
191 1 1 1 valid
192 0 0 1 valid
193 1 1 1 valid
194 0 0 1 valid
195 0 0 0 valid
196 1 0 1 valid
197 1 0 1 valid
198 0 1 1 valid
199 0 0 1 valid
200 0 0 0 valid
201 0 0 1 valid
202 0 0 0 valid
203 1 1 1 valid
204 0 0 1 valid
205 0 0 1 valid
206 0 0 1 valid
207 1 1 1 valid
208 0 0 0 valid
209 0 0 1 valid
210 1 0 1 valid
211 0 0 0 valid
212 1 0 1 valid
213 0 0 0 valid
214 0 0 1 valid
215 1 1 1 valid
216 0 0 0 valid
217 1 1 1 valid
218 1 1 1 valid
219 0 0 0 valid
220 1 1 1 valid
221 0 0 1 valid
222 0 1 1 valid
223 0 0 0 valid
224 0 0 0 valid
225 0 0 1 valid
226 0 0 1 valid
227 0 0 1 valid
228 1 0 1 valid
229 0 0 1 valid
230 0 0 1 valid
231 1 0 0 valid
232 0 0 1 valid
233 0 0 1 valid
234 0 0 1 valid
235 0 0 1 valid
236 1 1 1 valid
237 0 0 1 valid
238 1 1 1 valid
239 1 0 1 valid
240 0 0 0 valid
241 0 0 1 valid
242 0 0 1 valid
243 0 0 1 valid
244 0 0 0 valid
245 0 0 1 valid
246 0 1 1 valid
247 0 0 0 valid
248 0 0 1 valid
249 1 0 0 valid
250 0 0 1 valid
251 0 0 1 valid
252 0 0 0 valid
253 0 0 0 valid
254 1 0 1 valid
255 0 0 0 valid
256 0 0 1 valid
257 0 0 0 valid
258 0 0 0 valid
259 1 1 1 valid
260 1 0 1 valid
261 0 0 1 valid
262 0 0 1 valid
263 0 0 1 valid
264 0 0 0 valid
265 1 1 1 valid
266 1 1 1 valid
267 0 0 0 valid
268 0 0 1 valid
269 0 0 1 valid
270 0 0 0 valid
271 0 0 1 valid
272 0 0 1 valid
273 0 0 1 valid
274 0 0 1 valid
275 1 0 1 valid
276 0 0 0 valid
277 0 0 0 valid
278 0 0 1 valid
279 1 0 1 valid
280 0 1 1 valid
281 0 0 1 valid
282 0 0 1 valid
283 0 1 1 valid
284 0 0 1 valid
285 0 0 1 valid
286 1 1 1 valid
287 1 0 1 valid
288 0 0 1 valid
289 0 0 0 valid
290 0 0 1 valid
291 1 0 1 valid
292 0 0 0 valid
293 0 0 1 valid
294 0 0 0 valid
295 0 0 1 valid
296 0 0 0 valid
297 0 0 1 valid
298 1 1 1 valid
299 0 0 0 valid
300 0 0 0 valid
301 0 1 1 valid
302 0 0 1 valid
303 1 0 1 valid
304 1 0 0 valid
305 0 0 0 valid
306 0 0 1 valid
307 1 1 1 valid
308 0 0 1 valid
309 0 0 1 valid
310 0 0 0 valid
311 0 0 0 valid
312 0 0 0 valid
313 0 0 0 valid
314 0 0 0 valid
315 1 1 0 valid
316 0 0 0 valid
317 1 1 1 valid
318 0 0 0 valid
319 1 1 1 valid
320 0 0 0 valid
321 0 0 0 valid
322 0 0 1 valid
323 1 0 1 valid
324 1 0 1 valid
325 1 0 1 valid
326 0 0 1 valid
327 0 0 0 valid
328 0 0 1 valid
329 1 1 1 valid
330 1 1 1 valid
331 0 0 1 valid
332 1 1 1 valid
333 0 0 1 valid
334 0 0 0 valid
335 1 1 1 valid
336 1 1 0 valid
337 1 1 1 valid
338 0 0 1 valid
339 1 1 1 valid
340 0 1 1 valid
341 1 1 1 valid
342 1 1 1 valid
343 0 0 1 valid
344 0 0 1 valid
345 0 0 0 valid
346 0 0 1 valid
347 1 0 1 valid
348 0 0 0 valid
349 0 0 0 valid
350 0 0 1 valid
351 0 0 0 valid
352 1 0 1 valid
353 1 0 0 valid
354 1 1 1 valid
355 0 1 1 valid
356 0 0 1 valid
357 1 1 1 valid
358 0 0 1 valid
359 1 1 1 valid
360 0 0 1 valid
361 0 0 0 valid
362 0 0 1 valid
363 0 0 1 valid
364 0 0 1 valid
365 0 0 1 valid
366 0 1 1 valid
367 0 0 1 valid
368 1 0 1 valid
369 0 0 0 valid
370 0 0 1 valid
371 0 0 0 valid
372 0 0 0 valid
373 0 0 1 valid
374 0 0 0 valid
375 0 0 0 valid
376 1 0 1 valid
377 0 0 1 valid
378 0 0 1 valid
379 0 0 1 valid
380 0 0 0 valid
381 0 0 1 valid
382 0 0 1 valid
383 0 0 0 valid
384 0 0 0 valid
385 0 0 1 valid
386 0 0 1 valid
387 0 0 1 valid
388 0 0 1 valid
389 0 0 1 valid
390 1 0 0 valid
391 1 0 0 valid
392 0 0 0 valid
393 0 0 1 valid
394 0 0 0 valid
395 0 0 0 valid
396 0 0 1 valid
397 0 0 0 valid
398 0 0 1 valid
399 1 0 1 valid
400 0 0 1 valid
401 0 0 0 valid
402 0 0 1 valid
403 0 0 1 valid
404 0 0 1 valid
405 0 0 0 valid
406 1 1 1 valid
407 0 0 1 valid
408 1 1 1 valid
409 0 0 1 valid
410 0 0 1 valid
411 0 0 0 valid
412 1 1 1 valid
413 0 1 0 valid
414 1 0 0 valid
415 0 0 1 valid
416 0 1 1 valid
417 0 0 1 valid
418 0 0 0 valid
419 1 1 1 valid
420 1 0 1 valid
421 0 0 0 valid
422 0 0 0 valid
423 0 0 0 valid
424 0 0 1 valid
425 1 1 1 valid
426 0 0 1 valid
427 0 0 0 valid
428 0 1 1 valid
429 0 0 0 valid
430 1 1 1 valid
431 0 0 1 valid
432 0 0 1 valid
433 0 1 1 valid
434 0 0 1 valid
435 0 0 0 valid
436 0 0 1 valid
437 0 0 1 valid
438 1 0 0 valid
439 0 0 1 valid
440 0 0 0 valid
441 0 1 1 valid
442 0 0 1 valid
443 0 0 1 valid
444 0 0 0 valid
445 0 0 0 valid
446 0 0 0 valid
447 1 1 1 valid
448 1 0 1 valid
449 0 1 1 valid
450 1 0 1 valid
451 1 1 1 valid
452 1 1 1 valid
453 1 1 1 valid
454 0 0 1 valid
455 0 0 0 valid
456 0 0 1 valid
457 1 0 1 valid
458 0 0 1 valid
459 1 1 1 valid
460 0 0 1 valid
461 0 0 0 valid
462 0 0 1 valid
463 1 0 1 valid
464 1 1 1 valid
465 0 0 1 valid
466 1 1 1 valid
467 1 1 1 valid
468 1 0 1 valid
469 0 0 1 valid
470 0 0 0 valid
471 0 0 1 valid
472 1 1 1 valid
473 1 0 1 valid
474 0 0 0 valid
475 0 0 0 valid
476 0 0 0 valid
477 0 0 1 valid
478 0 1 1 valid
479 0 0 0 valid
480 1 0 0 valid
481 0 0 0 valid
482 1 0 1 valid
483 1 1 1 valid
484 0 0 0 valid
485 0 0 0 valid
486 0 0 1 valid
487 0 1 0 valid
488 0 0 0 valid
489 0 0 1 valid
490 0 0 1 valid
491 0 0 1 valid
492 0 0 0 valid
493 0 0 0 valid
494 1 0 1 valid
495 0 0 0 valid
496 1 1 1 valid
497 0 0 1 valid
498 0 0 1 valid
499 0 0 1 valid
500 0 0 1 valid
501 1 1 1 valid
502 1 1 0 valid
503 0 0 1 valid
504 0 1 0 valid
505 1 0 1 valid
506 0 0 0 valid
507 0 0 1 valid
508 0 0 1 valid
509 0 0 0 valid
510 0 0 1 valid
511 0 0 0 valid
512 0 0 1 valid
513 0 0 0 valid
514 0 0 0 valid
515 0 0 0 valid
516 0 0 1 valid
517 0 0 0 valid
518 0 0 1 valid
519 0 0 0 valid
520 0 0 1 valid
521 0 0 0 valid
522 0 0 0 valid
523 0 0 0 valid
524 0 0 0 valid
525 0 0 1 valid
526 1 0 0 valid
527 0 0 1 valid
528 1 1 1 valid
529 0 0 1 valid
530 0 0 0 valid
531 0 0 1 valid
532 0 0 1 valid
533 1 0 1 valid
534 0 0 1 valid
535 0 0 0 valid
536 0 0 1 valid
537 0 0 1 valid
538 0 0 0 valid
539 1 1 1 valid
540 0 0 0 valid
541 0 0 0 valid
542 0 0 1 valid
543 0 0 0 valid
544 0 0 0 valid
545 0 0 0 valid
546 1 0 0 valid
547 0 0 1 valid
548 0 0 1 valid
549 0 0 1 valid
550 1 0 0 valid
551 0 0 0 valid
552 0 0 1 valid
553 1 0 1 valid
554 0 0 1 valid
555 0 0 0 valid
556 0 0 1 valid
557 0 0 1 valid
558 0 0 1 valid
559 0 0 0 valid
560 0 0 0 valid
561 1 1 1 valid
562 0 0 1 valid
563 0 0 0 valid
564 1 0 1 valid
565 0 0 0 valid
566 0 0 1 valid
567 1 0 1 valid
568 0 0 1 valid
569 0 0 0 valid
570 0 0 1 valid
571 0 0 1 valid
572 0 0 1 valid
573 0 0 0 valid
574 1 0 1 valid
575 0 0 0 valid
576 0 0 1 valid
577 1 0 1 valid
578 0 0 1 valid
579 0 1 1 valid
580 0 0 1 valid
581 0 0 0 valid
582 1 1 0 valid
583 0 0 0 valid
584 0 1 1 valid
585 0 0 0 valid
586 1 0 0 valid
587 0 1 1 valid
588 0 0 0 valid
589 0 0 1 valid
590 0 0 0 valid
591 0 0 1 valid
592 1 1 1 valid
593 0 0 0 valid
594 1 1 1 valid
595 1 1 1 valid
596 1 0 0 valid
597 0 0 0 valid
598 1 0 0 valid
599 0 0 1 valid
600 0 0 0 valid
601 0 0 0 valid
602 1 1 1 valid
603 0 0 0 valid
604 0 0 0 valid
605 0 0 1 valid
606 1 0 1 valid
607 1 1 1 valid
608 0 0 1 valid
609 0 0 1 valid
610 0 0 1 valid
611 0 0 1 valid
612 0 0 0 valid
613 0 0 0 valid
614 0 0 0 valid
615 0 0 1 valid
616 0 0 0 valid
617 0 0 0 valid
618 0 0 1 valid
619 0 0 0 valid
620 1 0 1 valid
621 1 1 1 valid
622 0 0 0 valid
623 1 0 1 valid
624 1 1 1 valid
625 1 0 1 valid
626 0 0 1 valid
627 1 1 1 valid
628 0 0 1 valid
629 0 0 1 valid
630 1 0 0 valid
631 0 1 1 valid
632 1 0 1 valid
633 0 0 0 valid
634 0 0 1 valid
635 0 0 0 valid
636 1 0 0 valid
637 0 0 1 valid
638 0 1 0 valid
639 1 1 1 valid
640 0 0 0 valid
641 0 0 1 valid
642 0 0 0 valid
643 0 0 1 valid
644 0 0 1 valid
645 0 0 0 valid
646 0 0 1 valid
647 0 0 0 valid
648 0 0 1 valid
649 1 1 1 valid
650 1 0 1 valid
651 0 0 1 valid
652 0 0 0 valid
653 0 0 0 valid
654 0 0 1 valid
655 0 0 1 valid
656 1 0 1 valid
657 0 0 0 valid
658 0 0 0 valid
659 1 0 1 valid
660 0 0 1 valid
661 0 0 0 valid
662 0 0 1 valid
663 0 0 1 valid
664 0 0 1 valid
665 0 0 0 valid
666 0 0 0 valid
667 0 0 1 valid
668 0 0 0 valid
669 0 0 0 valid
670 0 0 1 valid
671 0 0 1 valid
672 0 0 1 valid
673 0 0 0 valid
674 0 0 0 valid
675 0 0 1 valid
676 0 0 0 valid
677 0 0 1 valid
678 0 0 1 valid
679 0 0 1 valid
680 0 0 1 valid
681 1 1 1 valid
682 0 0 0 valid
683 0 0 0 valid
684 0 0 1 valid
685 1 1 1 valid
686 1 0 0 valid
687 0 0 0 valid
688 1 1 1 valid
689 0 0 1 valid
690 0 0 0 valid
691 1 1 1 valid
692 0 0 1 valid
693 1 0 1 valid
694 1 1 1 valid
695 0 0 1 valid
696 0 0 0 valid
697 0 0 1 valid
698 0 0 0 valid
699 1 0 0 valid
700 0 0 1 valid
701 0 0 1 valid
702 1 1 1 valid
703 0 0 0 valid
704 0 0 1 valid
705 0 0 1 valid
706 0 0 1 valid
707 0 1 0 valid
708 0 0 1 valid
709 0 0 1 valid
710 0 0 0 valid
711 0 1 1 valid
712 0 0 1 valid
713 0 0 0 valid
714 1 1 1 valid
715 0 0 1 valid
716 0 0 0 valid
717 0 0 0 valid
718 0 0 1 valid
719 1 0 0 valid
720 0 0 1 valid
721 1 1 1 valid
722 0 0 0 valid
723 0 1 1 valid
724 0 0 1 valid
725 0 0 0 valid
726 0 0 1 valid
727 0 0 1 valid
728 1 1 1 valid
729 0 0 0 valid
730 1 1 1 valid
731 0 0 1 valid
732 0 0 1 valid
733 0 0 1 valid
734 0 0 1 valid
735 0 0 1 valid
736 0 0 1 valid
737 0 0 0 valid
738 0 0 1 valid
739 0 0 0 valid
740 0 0 1 valid
741 0 0 0 valid
742 0 0 0 valid
743 0 0 1 valid
744 0 0 0 valid
745 0 1 1 valid
746 0 0 1 valid
747 0 1 1 valid
748 0 0 0 valid
749 0 0 0 valid
750 0 0 0 valid
751 0 0 1 valid
752 1 1 1 valid
753 0 0 1 valid
754 1 1 1 valid
755 1 1 1 valid
756 0 0 1 valid
757 0 0 1 valid
758 0 0 0 valid
759 0 0 1 valid
760 1 1 0 valid
761 0 0 1 valid
762 1 1 1 valid
763 1 1 1 valid
764 0 0 1 valid
765 0 1 1 valid
766 1 0 1 valid
767 0 0 1 valid
768 0 1 1 valid
769 0 0 0 valid
770 1 1 1 valid
771 0 0 1 valid
772 0 0 0 valid
773 1 1 1 valid
774 1 0 1 valid
775 0 0 0 valid
776 0 0 1 valid
777 1 1 1 valid
778 1 0 1 valid
779 1 0 1 valid
780 0 1 1 valid
781 0 0 0 valid
782 1 1 0 valid
783 0 0 1 valid
784 0 0 1 valid
785 0 0 1 valid
786 0 1 1 valid
787 0 0 0 valid
788 0 0 1 valid
789 0 0 0 valid
790 0 0 1 valid
791 0 0 1 valid
792 0 0 0 valid
793 0 0 0 valid
794 0 0 0 valid
795 0 0 1 valid
796 1 0 1 valid
797 1 1 1 valid
798 0 0 0 valid
799 1 1 1 valid
800 0 0 0 valid
801 0 0 1 valid
802 0 0 1 valid
803 1 1 1 valid
804 0 0 1 valid
805 1 1 1 valid
806 0 0 1 valid
807 0 0 0 valid
808 0 1 1 valid
809 0 0 1 valid
810 0 1 0 valid
811 0 0 1 valid
812 0 0 0 valid
813 0 0 1 valid
814 0 0 1 valid
815 1 0 1 valid
816 0 0 1 valid
817 0 0 0 valid
818 1 0 1 valid
819 1 0 1 valid
820 0 0 1 valid
821 0 0 0 valid
822 1 1 1 valid
823 1 1 1 valid
824 1 1 1 valid
825 1 0 0 valid
826 1 1 0 valid
827 1 0 1 valid
828 1 1 1 valid
829 0 0 1 valid
830 0 0 1 valid
831 1 1 1 valid
832 0 0 1 valid
833 1 1 1 valid
834 0 0 1 valid
835 0 0 0 valid
836 0 0 0 valid
837 0 0 0 valid
838 0 0 0 valid
839 0 0 0 valid
840 0 0 1 valid
841 0 0 0 valid
842 0 0 0 valid
843 0 0 1 valid
844 0 0 1 valid
845 0 0 1 valid
846 0 0 0 valid
847 0 0 1 valid
848 1 1 1 valid
849 0 0 1 valid
850 0 0 0 valid
851 0 1 1 valid
852 0 0 0 valid
853 0 0 0 valid
854 1 1 1 valid
855 0 0 1 valid
856 0 0 0 valid
857 1 0 1 valid
858 0 0 1 valid
859 0 0 1 valid
860 0 0 1 valid
861 1 0 0 valid
862 1 0 1 valid
863 0 0 0 valid
864 1 1 1 valid
865 0 0 1 valid
866 0 0 1 valid
867 0 1 1 valid
868 0 0 0 valid
869 0 0 1 valid
870 0 0 1 valid
871 0 0 1 valid
872 0 0 1 valid
873 1 1 1 valid
874 0 0 1 valid
875 0 0 0 valid
876 1 0 1 valid
877 0 0 0 valid
878 1 1 1 valid
879 0 0 1 valid
880 1 1 1 valid
881 0 0 0 valid
882 0 0 1 valid
883 0 0 1 valid
884 0 0 1 valid
885 0 1 1 valid
886 0 0 1 valid
887 0 0 1 valid
888 1 1 0 valid
889 0 0 1 valid
890 0 0 1 valid
891 0 0 1 valid
892 1 0 1 valid
893 0 0 1 valid
894 0 1 1 valid
895 0 0 1 valid
896 0 0 0 valid
897 0 0 1 valid
898 0 0 1 valid
899 0 0 0 valid
900 0 0 1 valid
901 1 1 1 valid
902 0 0 1 valid
903 0 0 0 valid
904 1 0 1 valid
905 1 0 1 valid
906 0 0 0 valid
907 1 0 1 valid
908 0 0 1 valid
909 0 0 1 valid
910 0 0 0 valid
911 0 0 1 valid
912 0 0 0 valid
913 0 0 1 valid
914 1 1 1 valid
915 1 0 1 valid
916 1 0 1 valid
917 0 0 1 valid
918 0 0 1 valid
919 1 0 1 valid
920 0 0 0 valid
921 0 0 0 valid
922 0 0 0 valid
923 1 1 1 valid
924 0 0 1 valid
925 0 0 1 valid
926 1 0 1 valid
927 0 0 0 valid
928 1 0 1 valid
929 0 0 0 valid
930 0 0 1 valid
931 1 1 1 valid
932 0 0 1 valid
933 0 0 0 valid
934 0 0 0 valid
935 0 0 1 valid
936 0 1 1 valid
937 0 1 1 valid
938 0 0 0 valid
939 1 1 1 valid
940 0 0 0 valid
941 0 0 0 valid
942 0 0 0 valid
943 0 0 1 valid
944 0 0 1 valid
945 0 0 1 valid
946 1 1 1 valid
947 0 0 0 valid
948 0 0 0 valid
949 0 0 1 valid
950 1 0 1 valid
951 0 0 1 valid
952 0 0 0 valid
953 0 0 1 valid
954 0 0 0 valid
955 0 0 1 valid
956 0 0 1 valid
957 0 0 1 valid
958 1 1 1 valid
959 1 0 1 valid
960 0 0 0 valid
961 0 0 0 valid
962 0 0 1 valid
963 0 0 1 valid
964 0 0 1 valid
965 0 0 1 valid
966 0 0 1 valid
967 0 0 0 valid
968 0 0 0 valid
969 0 0 0 valid
970 0 0 0 valid
971 0 0 0 valid
972 0 0 1 valid
973 0 0 1 valid
974 1 0 0 valid
975 0 0 1 valid
976 0 0 0 valid
977 1 1 1 valid
978 0 0 1 valid
979 0 0 1 valid
980 0 0 1 valid
981 0 0 1 valid
982 0 1 1 valid
983 0 0 0 valid
984 0 0 1 valid
985 0 1 1 valid
986 0 0 1 valid
987 1 0 1 valid
988 0 0 0 valid
989 0 0 1 valid
990 0 1 1 valid
991 0 0 1 valid
992 0 0 0 valid
993 0 0 1 valid
994 1 1 1 valid
995 1 0 0 valid
996 0 0 1 valid
997 0 0 0 valid
998 0 0 0 valid
999 1 0 1 valid
1000 1 1 1 valid
1001 0 0 0 valid
1002 0 0 1 valid
1003 1 0 1 valid
1004 1 1 1 valid
1005 0 0 0 valid
1006 0 0 1 valid
1007 0 0 0 valid
1008 0 0 1 valid
1009 1 1 1 valid
1010 0 0 0 valid
1011 0 1 1 valid
1012 0 0 1 valid
1013 0 1 1 valid
1014 0 0 0 valid
1015 0 0 1 valid
1016 0 0 0 valid
1017 0 0 1 valid
1018 0 0 1 valid
1019 0 0 1 valid
1020 0 0 1 valid
1021 1 1 1 valid
1022 0 0 1 valid
1023 0 0 0 valid
1024 0 0 1 valid
1025 1 0 1 valid
1026 1 1 1 valid
1027 0 0 0 valid
1028 0 0 1 valid
1029 0 0 1 valid
1030 1 0 1 valid
1031 0 0 1 valid
1032 0 0 0 valid
1033 0 0 0 valid
1034 0 0 0 valid
1035 0 0 1 valid
1036 0 0 1 valid
1037 0 0 1 valid
1038 0 0 1 valid
1039 0 1 1 valid
1040 1 1 1 valid
1041 0 0 1 valid
1042 0 0 0 valid
1043 0 0 1 valid
1044 0 0 1 valid
1045 0 0 0 valid
1046 0 0 0 valid
1047 1 0 1 valid
1048 0 0 0 valid
1049 0 0 1 valid
1050 0 0 0 valid
1051 0 0 1 valid
1052 0 0 1 valid
1053 0 0 1 valid
1054 0 0 1 valid
1055 1 1 1 valid
1056 0 0 1 valid
1057 1 0 1 valid
1058 0 0 1 valid
1059 0 0 1 valid
1060 0 0 1 valid
1061 0 1 1 valid
1062 1 0 1 valid
1063 1 0 1 valid
1064 0 0 1 valid
1065 1 1 1 valid
1066 1 0 1 valid
1067 1 1 1 valid
1068 0 0 1 valid
1069 0 0 0 valid
1070 0 0 0 valid
1071 0 0 1 valid
1072 0 0 1 valid
1073 0 0 1 valid
1074 0 0 1 valid
1075 0 0 1 valid
1076 0 0 1 valid
1077 1 1 1 valid
1078 0 0 0 valid
1079 1 1 1 valid
1080 0 0 1 valid
1081 0 0 1 valid
1082 0 0 1 valid
1083 0 0 1 valid
1084 1 1 1 valid
1085 0 0 1 valid
1086 0 0 1 valid
1087 0 0 1 valid
1088 0 0 0 valid
1089 0 0 0 valid
1090 0 1 1 valid
1091 0 0 1 valid
1092 0 0 0 valid
1093 0 0 1 valid
1094 1 0 1 valid
1095 1 1 1 valid
1096 1 0 1 valid
1097 0 0 1 valid
1098 0 0 0 valid
1099 0 1 1 valid
1100 0 0 0 valid
1101 1 1 1 valid
1102 0 0 1 valid
1103 0 0 1 valid
1104 0 0 1 valid
1105 0 0 1 valid
1106 0 0 1 valid
1107 0 0 1 valid
1108 0 0 0 valid
1109 0 0 1 valid
1110 0 1 1 valid
1111 0 0 0 valid
1112 0 0 1 valid
1113 0 0 1 valid
1114 0 0 0 valid
1115 0 0 0 valid
1116 0 0 1 valid
1117 0 0 1 valid
1118 1 0 1 valid
1119 0 1 1 valid
1120 0 1 1 valid
1121 0 0 1 valid
1122 0 0 1 valid
1123 0 0 0 valid
1124 0 0 0 valid
1125 1 0 1 valid
1126 0 0 0 valid
1127 0 0 1 valid
1128 0 1 0 valid
1129 0 0 0 valid
1130 0 0 0 valid
1131 0 0 0 valid
1132 1 0 1 valid
1133 0 0 0 valid
1134 0 0 1 valid
1135 0 1 1 valid
1136 1 1 0 valid
1137 0 0 1 valid
1138 0 0 1 valid
1139 1 1 1 valid
1140 0 0 0 valid
1141 0 0 1 valid
1142 0 0 0 valid
1143 0 0 1 valid
1144 0 0 1 valid
1145 1 0 1 valid
1146 0 0 1 valid
1147 0 0 1 valid
1148 0 0 1 valid
1149 0 0 0 valid
1150 0 0 1 valid
1151 0 0 0 valid
1152 1 1 1 valid
1153 0 0 1 valid
1154 0 0 0 valid
1155 0 0 1 valid
1156 1 1 1 valid
1157 0 0 0 valid
1158 0 0 1 valid
1159 0 1 1 valid
1160 0 0 0 valid
1161 0 0 0 valid
1162 1 1 1 valid
1163 0 0 1 valid
1164 0 0 1 valid
1165 0 0 1 valid
1166 0 0 0 valid
1167 1 0 1 valid
1168 1 0 1 valid
1169 0 0 0 valid
1170 1 0 0 valid
1171 0 0 1 valid
1172 0 1 1 valid
1173 0 0 1 valid
1174 1 1 1 valid
1175 1 0 1 valid
1176 0 0 1 valid
1177 0 0 0 valid
1178 1 1 1 valid
1179 0 0 1 valid
1180 0 0 1 valid
1181 0 0 1 valid
1182 0 1 1 valid
1183 1 1 1 valid
1184 1 0 1 valid
1185 1 1 1 valid
1186 0 0 0 valid
1187 1 0 1 valid
1188 0 0 1 valid
1189 0 0 0 valid
1190 1 1 1 valid
1191 0 0 1 valid
1192 0 0 1 valid
1193 1 1 1 valid
1194 0 0 0 valid
1195 0 0 1 valid
1196 0 0 1 valid
1197 1 1 1 valid
1198 0 0 1 valid
1199 0 0 1 valid
1200 0 0 1 valid
1201 1 1 1 valid
1202 0 0 1 valid
1203 1 0 1 valid
1204 0 0 0 valid
1205 1 1 1 valid
1206 0 0 0 valid
1207 1 1 1 valid
1208 1 1 1 valid
1209 0 0 0 valid
1210 0 0 0 valid
1211 0 0 1 valid
1212 1 1 1 valid
1213 0 0 1 valid
1214 0 0 1 valid
1215 0 0 0 valid
1216 1 0 0 valid
1217 0 0 0 valid
1218 0 0 0 valid
1219 1 1 1 valid
1220 0 0 1 valid
1221 0 0 0 valid
1222 0 0 0 valid
1223 0 0 1 valid
1224 0 0 0 valid
1225 0 0 1 valid
1226 1 0 1 valid
1227 1 0 1 valid
1228 0 0 1 valid
1229 1 0 1 valid
1230 0 0 0 valid
1231 0 0 0 valid
1232 0 0 1 valid
1233 0 0 0 valid
1234 0 1 1 valid
1235 1 1 1 valid
1236 0 0 1 valid
1237 0 0 0 valid
1238 0 1 1 valid
1239 0 0 1 valid
1240 1 0 1 valid
1241 0 0 1 valid
1242 0 0 0 valid
1243 0 0 0 valid
1244 1 1 1 valid
